a	á
a.k.a.	a. k. a.
a.m.k	a.m.k.
a.mk.	a.m.k.
Adami	Adam
Adelie	Adele
adgerdaaaetlun	aðgerðaáætlun
adhd	ADHD
Adolfi	Adolf
afborgarnir	afborganir
afgangnum	afganginum
afram	áfram
Afrinhérað	Afrínhérað
Afrinhéraði	Afrínhéraði
afslappaðara	afslappaðra
afslappaðari	afslappaðri
afslátti	afslætti
afsökunnar	afsökunar
aftir	aftur
Aftonbladed	Aftonbladet
aftu	aftur
Aftuelding	Afturelding
aftúr	aftur
afur	aftur
afþreyingum	afþreyingu
agaðari	agaðri
aggressívur	agressívur
Agusta	Ágústa
ahfa	hafa
ahn	hann
ahnn	hann
akkurat	akkúrat
Akkurat	akkúrat
akkúrrat	akkúrat
akrílmálningu	akrýlmálningu
akstu	akstur
akstureiginleika	aksturseiginleika
aksturþjónustu	akstursþjónustu
aktivisma	aktívisma
aktivista	aktívista
aktivistar	aktívistar
aktivisti	aktívisti
Akureyar	Akureyrar
Alavítar	Alavítar
aldei	aldrei
aldrey	aldrei
aldrinu	aldrinum
Alexanda	Alexandra
Alexanderson	Alexandersson
Alexandr	Alexander
Alexandru	Alexöndru
Alexender	Alexander
Alexi	Alex
Alfreði	Alfreð
algegnt	algengt
algent	algengt
algör	algjör
alkahólisma	alkóhólisma
alkahólista	alkóhólista
alkahólisti	alkóhólisti
allaf	alltaf
allann	allan
allanvega	allavega
allataf	alltaf
allaveg	allavega
allaveganna	allavega
allavena	allavega
alldrei	aldrei
alllt	allt
allltaf	alltaf
allst	allt
allta	alltaf
almannaksárinu	almanaksárinu
almannatrygginar	almannatryggingar
Almarrs	Almars
almenningsamgangna	almenningssamganga
almennnings	almennings
alsherjar	allsherjar
alsráðandi	allsráðandi
altaf	alltaf
Althingi	Alþingi
althingis	alþingis
altjent	alltént
altlaf	alltaf
alvega	allavega
alþingsmaður	alþingismaður
alþjóðasamfélagins	alþjóðasamfélagsins
alþm	alþm.
amk	a.m.k.
amkvæmt	samkvæmt
ananans	ananas
ananr	annar
ananrs	annars
andstæðingin	andstæðinginn
andyri	anddyri
andyrinu	anddyrinu
Angólar	Angólamenn
annahvort	annaðhvort
annann	annan
annarar	annarrar
annari	annarri
annarr	annar
annarrra	annarra
annnan	annan
annnarra	annarra
annrs	annars
antik	antík
Apotek	Apótek
Apotekinu	Apótekinu
Argentísk	Argentínsk
argentíska	argentínska
Argentíska	Argentínska
argentíski	argentínski
Argentíski	Argentínski
arkmið	markmið
arkítekt	arkitekt
arkítekta	arkitekta
arkítektar	arkitektar
arkítektinn	arkitektinn
arkítektum	arkitektum
arkítektúr	arkitektúr
Arnarsd	Arnarsd.
arsemi	arðsemi
Arsskyrsla	Ársskýrsla
Artotek	Artótek
Aserbaídjan	Aserbaísjan
Asgeir	Ásgeir
Asger	Ásgeir
Asiu	Asíu
Así	ASÍ
ath	ath.
athugsemd	athugasemd
athugsemdakerfi	athugasemdakerfi
athugsemdir	athugasemdir
athugsemdum	athugasemdum
athygi	athygli
athylgi	athygli
atkv	atkv.
Atlandshafi	Atlantshafi
Atlandshafsbandalagið	Atlantshafsbandalagið
Atlandshafsbandalagsins	Atlantshafsbandalagsins
atvinnuli	atvinnulið
atvinnustarfssemi	atvinnustarfsemi
atvinnuþáttöku	atvinnuþátttöku
atvæði	atkvæði
Audur	Auður
auganum	auganu
augnæknis	augnlæknis
auking	aukning
aukingu	aukningu
aukis	aukist
aukð	aukið
austuhluta	austurhluta
Austuríki	Austurríki
austuríska	austurríska
auvðitað	auðvitað
auðugari	auðugri
auðvita	auðvitað
avokadó	avókadó
aðahlutverk	aðalhlutverk
aðahlutverki	aðalhlutverki
Aðalavalmynd	Aðalvalmynd
aðalleikona	aðalleikkona
Aðalleikona	Aðalleikkona
aðar	aðra
aðdragandum	aðdragandanum
aðeisn	aðeins
aðg	aðg.
aðgangnum	aðganginum
aðgerðinar	aðgerðirnar
aðiens	aðeins
aðillinn	aðilinn
aðins	aðeins
aðraganda	aðdraganda
aðskild	aðskilin
aður	áður
Aþingis	Alþingis
aþr	þar
B.Ed	B.Ed.
B.ed	B.Ed.
B.s.	B.S.
Babýlóns	Babýlons
Bakary	Bakery
bakarínu	bakaríinu
Bakkabraedur	Bakkabræður
bakkan	bakkann
Bandarikjanna	Bandaríkjanna
Bandarikjunum	Bandaríkjunum
Bandaríkaforseta	Bandaríkjaforseta
Bandaríkaforseti	Bandaríkjaforseti
Bandaríkinn	Bandaríkin
Bandaríkjana	Bandaríkjanna
Bandaríkjanan	Bandaríkjanna
Bandaríkjann	Bandaríkjanna
Bandaríkjdala	Bandaríkjadala
Bandaríkjunm	Bandaríkjunum
Bandaríkjunu	Bandaríkjunum
Bandaríkunum	Bandaríkjunum
Bandraíkjanna	Bandaríkjanna
Bankok	Bangkok
baraáttu	baráttu
Barelona	Barcelona
Barnaverndastofu	Barnaverndarstofu
barráttu	baráttu
Barðarströnd	Barðaströnd
barómeter	loftvog
basilika	basilíka
basiliku	basilíku
Begium	Belgium
Belgrað	Belgrad
bema	nema
Bendikt	Benedikt
Bendiktsson	Benediktsson
Bendiktssonar	Benediktssonar
Benediksson	Benediktsson
Benedikssonar	Benetiktssonar
Benedikti	Benedikt
Benedorm	Benidorm
bensínsstöð	bensínstöð
betir	betri
Beuty	Beauty
beyta	beita
beytt	beitt
bikaúrslitaleiknum	bikarúrslitaleiknum
billinu	bilinu
birist	birtist
birtisti	birtist
birtst	birtist
Bissá	Bissaú
Bió	Bíó
Bjarnasson	Bjarnason
Bjarndóttir	Bjarnadóttir
bjartvirði	bjartviðri
bjóstakrabbameini	brjóstakrabbameini
Björgvinn	Björgvin
Björku	Björk
Björvin	Björgvin
bls	bls.
Blöndósi	Blönduósi
Bodgan	Bogdan
boltan	boltann
boltin	boltinn
Borganesi	Borgarnesi
borgararinnar	borgarinnar
borgararkítekt	borgararkitekt
borgarfulltrúm	borgarfulltrúum
borgarinar	borgarinnar
borgarinnnar	borgarinnar
borgini	borginni
Bosporussund	Bospórussund
Bosporussundið	Bospórussundið
botnin	botninn
Bournmouth	Bournemouth
Brasílíu	Brasilíu
bregast	bregðast
bregaðst	bregðast
breiskleika	breyskleika
breyast	breytast
breystast	breytast
brids	bridds
briem	Briem
Brigthon	Brighton
Brigton	Brighton
Brittain	Britain
brjóstarhaldara	brjóstahaldara
brokkoli	brokkólí
brt	brt.
bráðabirgðarmeistari	bráðabirgðameistari
bráðabirgðartitilinn	bráðabirgðatitilinn
bráðabirða	bráðabirgða
bráðabrigða	bráðabirgða
bráðamótttöku	bráðamóttöku
bráðamótttökunni	bráðamóttökunni
bræðurnar	bræðurna
bróðurs	bróður
brúðurinn	brúðurin
Bugl	BUGL
Buisness	Business
bundar	bundnar
Byrkir	Birkir
byrunarliðinu	byrjunarliðinu
bárus	bárust
báráttu	baráttu
báráttunni	baráttunni
Bárðabungu	Bárðarbungu
Bárðarsson	Bárðarson
bátarins	bátsins
bátinum	bátnum
Báður	Bárður
bæjarsins	bæjarins
bæum	bæjum
bíllin	bíllinn
bókinn	bókin
Bólívíu	Bólivíu
bómul	bómull
börnun	börnum
börnunm	börnum
búlemíu	búlimía
Búlgarir	Búlgarar
Búlgörum	Búlgurum
búrkini	búrkiní
Búrkíníbannið	Búrkiníbannið
búrkíníið	búrkiníið
búrkíníum	búrkiníum
búrmíska	mjanmarska
búrmíski	mjanmarski
Búrmíski	Mjanmarski
búrmísku	mjanmörsku
Búsáhaldabyltingi	Búsáhaldabyltingin
dagins	dagsins
dagsfer	dagsferð
dagskra	dagskrá
Damörku	Danmörku
Danmörkur	Danmerkur
Dansiði	___
Daníeli	Daníel
darraðadans	darraðardans
Davíði	Davíð
Deanerys	Daenerys
debit	debet
deginu	deiginu
degið	deigið
deidlarinnar	deildarinnar
deiildinni	deildinni
deildarinanr	deildarinnar
deildarinar	deildarinnar
deildarinna	deildarinnar
deildini	deildinni
deildinn	deildinni
deildinnar	deildarinnar
Delevinge	Delevingne
Delhí	Delí
desemer	desember
desmber	desember
deyji	deyi
dieselbíla	dísilbíla
Diljáar	Diljár
Djíbjútí	Djibútí
dkr	d.kr.
doldið	dálítið
dramatúrgur	dramatúrg
draugi	draug
drengins	drengsins
dreyfa	dreifa
drog	drög
drottingar	drottningar
drykksins	drykkjarins
drógst	dróst
dróu	drógu
Dubaí	Dúbaí
Dyflinar	Dyflinnar
